CHANNEL node 11 HYNNEKLEIV
N_CASCADE_LINRES 2
K_TRAVELTIME_HOURS 4.00
yyyy mm dd hh [m3/s]    [Mm3]       [m3/s]      [Euro]
yyyy mm dd hh Up_Inflow Storage_Mm3 tot_outflow Qmin_Cost
2022 9 1 0 0.0000 0.00016670 0.0559 0.0000 
2022 9 2 0 0.0000 0.00000000 0.0019 0.0000 
2022 9 3 0 0.0000 0.00000000 0.0000 0.0000 
2022 9 4 0 6.1740 0.08520070 5.1879 0.0000 
2022 9 5 0 7.8400 0.11189622 7.5310 0.0000 
2022 9 6 0 7.8400 0.11289599 7.8284 0.0000 
2022 9 7 0 7.8400 0.11289600 7.8400 0.0000 
2022 9 8 0 7.8400 0.11289600 7.8400 0.0000 
2022 9 9 0 7.8400 0.11289600 7.8400 0.0000 
2022 9 10 0 7.8400 0.11289600 7.8400 0.0000 
2022 9 11 0 7.8400 0.11289600 7.8400 0.0000 
2022 9 12 0 7.8400 0.11289600 7.8400 0.0000 
2022 9 13 0 7.8400 0.11289600 7.8400 0.0000 
2022 9 14 0 7.8400 0.11289600 7.8400 0.0000 
2022 9 15 0 7.8400 0.11289600 7.8400 0.0000 
2022 9 16 0 7.8400 0.11289600 7.8400 0.0000 
2022 9 17 0 7.8400 0.11289600 7.8400 0.0000 
2022 9 18 0 7.8400 0.11289600 7.8400 0.0000 
2022 9 19 0 7.8400 0.11289600 7.8400 0.0000 
2022 9 20 0 7.8400 0.11289600 7.8400 0.0000 
2022 9 21 0 7.8400 0.11289600 7.8400 0.0000 
2022 9 22 0 7.8400 0.11289600 7.8400 0.0000 
2022 9 23 0 7.8400 0.11289600 7.8400 0.0000 
2022 9 24 0 7.8400 0.11289600 7.8400 0.0000 
2022 9 25 0 7.8400 0.11289600 7.8400 0.0000 
2022 9 26 0 7.8400 0.11289600 7.8400 0.0000 
2022 9 27 0 7.8400 0.11289600 7.8400 0.0000 
2022 9 28 0 7.8400 0.11289600 7.8400 0.0000 
2022 9 29 0 7.8400 0.11289600 7.8400 0.0000 
2022 9 30 0 7.8400 0.11289600 7.8400 0.0000 
2022 10 1 0 7.8400 0.11289600 7.8400 0.0000 
2022 10 2 0 7.8400 0.11289600 7.8400 0.0000 
2022 10 3 0 7.8400 0.11289600 7.8400 0.0000 
2022 10 4 0 7.8400 0.11289600 7.8400 0.0000 
2022 10 5 0 7.8400 0.11289600 7.8400 0.0000 
2022 10 6 0 7.8400 0.11289600 7.8400 0.0000 
2022 10 7 0 7.8400 0.11289600 7.8400 0.0000 
2022 10 8 0 7.8400 0.11289600 7.8400 0.0000 
2022 10 9 0 7.8400 0.11289600 7.8400 0.0000 
2022 10 10 0 7.8400 0.11289600 7.8400 0.0000 
2022 10 11 0 7.8400 0.11289600 7.8400 0.0000 
2022 10 12 0 7.8400 0.11289600 7.8400 0.0000 
2022 10 13 0 7.8400 0.11289600 7.8400 0.0000 
